EmployeeID,EmployeeName,Gender,Age,Department,JobTitle,EducationLevel,City,Salary,ExperienceYears,PerformanceScore,LeavesTaken,ProjectsHandled,JoiningDate,Status,Attrition,WorkMode
20000,Employee_863,Female,38,Operations,Manager,High School,Delhi,₹64561.82,13,1,18,19,7/10/2021,resigned, No , On-site 
20002,Employee_190,Female,37,Engineering,Intern, PhD ,Mumbai,₹102836.80,33,3,13,4,2/27/2019,Active,No,Hybrid
20003,Employee_904,Female,26,Marketing,Senior Manager,Bachelor,Chennai,₹37005.17,6,7,21,10,1/12/2019,on leave,No, On-site 
20005,Employee_1130,Male,40, Finance ,Executive,master,Hyderabad,₹97497.23,19,10,9,19,10/20/2020,Terminated,Yes,Hybrid
20010,Employee_618,Female,43,ENGINEERING,SENIOR ENGINEER, High School ,Noida,₹26546.29,6,10,20,7,7/27/2016,Resigned,No,On-site
20011,Employee_1331,Female,37,legal,Director,High School,Kolkata,₹86800.55,17,8,9,9,4/21/2021,Terminated,No,On-site
20014,Em@loyee_114,Male,27,hr,manager,Master,Delhi,₹91701.73,35,2,30,14,9/11/2019,,Yes,Remote
20017,Employee_1456,Female,56,Product,Manager,Bachelor,,₹187031.08,26,3,5,9,8/31/2021,Terminated,No,Remote
20018,Employee_1417,Female,31,Product,senior engineer,PhD,Chennai,₹231039.47,32,9,29,1,5/8/2017,Terminated,Yes,remote
20023,Employee_1298, Female ,52,Legal,senior manager,Bachelor,Delhi,₹109974.95,25,8,21,18,3/7/2022,Terminated,No,Hybrid
20024,Employee_1420,Female,26,Operations,Analyst,PhD,Kolkata,₹25906.53,3,8,13,2,9/5/2021,active,,On-site
20031,Employee_875,Male,23,Operations,Senior Manager,High School,Kolkata,₹34916.63,7,4,5,9,10/11/2022,Resigned,No,On-site
20032,Employee_31,Male,33,Operations,Senior Engineer,High School,Chennai,₹199602.67,29,4,22,20,11/16/2020,on leave,Yes,Remote
20035,Employee_982,Female,57, Engineering , Senior Engineer ,Master,Chennai,₹79080.15,26,3,12,1,8/24/2021,Terminated,No,Hybrid
